GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0041600141,1610612757,Trail Blazers,POR,Portland,240:00,102.2,109.0,120.6,118.6,-18.4,-9.6,0.375,1.0,11.3,0.304,0.7,0.469,14.061,15.0,0.489,0.531,1.0,0.197,103.5,101.0,84.17,100,0.37
0041600142,1610612744,Warriors,GSW,Golden State,240:00,102.3,106.8,76.2,79.4,26.1,27.4,0.775,1.82,20.7,,0.746,,15.805,16.5,0.495,0.542,1.0,0.199,106.96,102.5,85.42,103,0.699
0041600142,1610612757,Trail Blazers,POR,Portland,240:00,76.2,79.4,102.3,106.8,-26.1,-27.4,0.567,0.89,12.7,0.254,,,17.864,18.6,0.372,0.412,1.0,0.198,106.96,102.5,85.42,102,0.301
0041600143,1610612744,Warriors,GSW,Golden State,240:00,110.8,115.5,105.7,109.7,5.1,5.8,0.625,3.57,18.1,0.218,0.704,0.459,6.518,6.8,0.505,0.559,1.0,0.199,107.14,103.0,85.83,103,0.561
0041600143,1610612757,Trail Blazers,POR,Portland,240:00,105.7,109.7,110.8,115.5,-5.1,-5.8,0.436,1.06,12.6,0.296,0.782,0.541,14.97,15.5,0.506,0.555,1.0,0.199,107.14,103.0,85.83,103,0.439
0041600144,1610612744,Warriors,GSW,Golden State,240:00,125.6,126.7,101.2,102.0,24.4,24.8,0.587,2.7,20.0,0.205,0.796,0.531,9.815,9.9,0.634,0.654,1.0,0.2,101.82,101.0,84.17,101,0.65
0041600144,1610612757,Trail Blazers,POR,Portland,240:00,101.2,102.0,125.6,126.7,-24.4,-24.8,0.424,1.27,11.4,0.204,0.795,0.469,10.81,10.9,0.465,0.527,1.0,0.202,101.82,101.0,84.17,101,0.35
0041600151,1610612759,Spurs,SAS,San Antonio,240:00,124.7,127.6,93.7,94.3,31.0,33.3,0.39,1.6,14.2,0.3,0.792,0.568,11.236,11.5,0.605,0.638,1.0,0.198,88.24,87.0,72.5,87,0.637
0041600151,1610612763,Grizzlies,MEM,Memphis,240:00,93.7,94.3,124.7,127.6,-31.0,-33.3,0.548,1.89,15.1,0.208,0.7,0.432,10.288,10.3,0.437,0.474,1.0,0.199,88.24,87.0,72.5,87,0.363
0041600152,1610612759,Spurs,SAS,San Antonio,240:00,111.5,112.9,91.5,95.3,20.0,17.6,0.5,0.88,13.3,,0.706,,18.587,18.8,0.533,0.639,1.0,0.195,87.84,85.5,71.25,85,0.619
0041600152,1610612763,Grizzlies,MEM,Memphis,240:00,91.5,95.3,111.5,112.9,-20.0,-17.6,0.613,1.9,16.2,0.294,,,11.161,11.6,0.421,0.463,1.0,0.195,87.84,85.5,71.25,86,0.381
0041600153,1610612759,Spurs,SAS,San Antonio,240:00,111.5,111.9,123.8,125.0,-12.3,-13.1,0.471,1.33,14.2,0.326,0.8,0.554,14.231,14.3,0.542,0.557,1.0,0.199,84.56,84.0,70.0,84,0.42
0041600153,1610612763,Grizzlies,MEM,Memphis,240:00,123.8,125.0,111.5,111.9,12.3,13.1,0.538,4.2,18.8,0.2,0.674,0.446,5.896,6.0,0.565,0.612,1.0,0.198,84.56,84.0,70.0,84,0.58
